date,open,high,low,close,volume
2017-01-01,491.0,503.4,481.98,492.69,238630186.0
2017-01-02,512.32,533.01,502.7,517.85,501102813.0
2017-01-03,508.66,513.61,504.05,508.83,468753892.0
2017-01-04,526.73,529.34,508.66,519.0,53711714745.0
2017-01-05,528.65,532.38,516.02,524.2,540657849.0
2017-01-06,531.2,538.07,520.95,529.51,12694483395.0
2017-01-07,526.12,538.21,526.12,532.17,152539424.0
2017-01-08,547.69,557.41,529.55,543.48,229944970.0
2017-01-09,560.61,577.93,558.46,568.19,360479184.0
2017-01-10,569.97,573.99,553.05,563.52,282571215.0
2017-01-11,557.8,570.54,556.32,563.43,669049809.0
2017-01-12,541.39,548.38,538.01,543.19,343751403.0
2017-01-13,536.83,543.92,536.2,540.06,289921065.0
2017-01-14,575.57,580.39,554.45,567.42,5608492350.0
2017-01-15,557.68,568.84,557.68,563.26,6160525909.0
2017-01-16,575.95,587.23,561.66,574.44,4065429440.0
2017-01-17,531.4,547.07,531.16,539.11,2140191922.0
2017-01-18,553.28,557.23,540.33,548.78,1116910914.0
2017-01-19,534.02,534.29,516.71,525.5,459647969.0
2017-01-20,541.75,550.88,535.46,543.17,231209664.0
2017-01-21,573.23,577.81,569.19,573.5,1660497481.0
2017-01-22,557.11,557.11,543.09,550.1,165260311.0
2017-01-23,571.28,583.12,558.47,570.8,215929251.0
2017-01-24,553.41,565.66,541.7,553.68,5395642078.0
2017-01-25,563.76,568.83,555.17,562.0,16537362204.0
2017-01-26,543.5,548.32,530.52,539.42,1721680194.0
2017-01-27,551.63,562.59,551.63,557.11,5012997107.0
2017-01-28,515.35,515.35,504.89,510.12,658917940.0
2017-01-29,552.38,556.9,550.72,553.81,128047449.0
2017-01-30,521.08,544.68,515.61,530.15,2385052303.0
2017-01-31,581.72,581.72,569.9,575.81,2236611622.0
2017-02-01,572.49,581.47,569.17,575.32,1060608849.0
2017-02-02,563.47,577.15,563.47,570.31,662540033.0
2017-02-03,588.3,589.96,580.38,585.17,4038918110.0
2017-02-04,554.5,557.66,534.74,546.2,217630387.0
2017-02-05,591.96,591.96,583.87,587.92,299436444.0
2017-02-06,579.16,579.16,569.56,574.36,210980573.0
2017-02-07,555.98,559.5,536.35,547.92,1088872366.0
2017-02-08,558.53,573.81,558.53,566.17,187776628.0
2017-02-09,527.14,541.7,517.65,529.67,344641888.0
2017-02-10,543.02,546.34,526.03,536.19,334325443.0
2017-02-11,536.93,545.98,533.67,539.82,653143689.0
2017-02-12,542.49,551.79,528.8,540.3,103925160.0
2017-02-13,532.65,534.59,526.2,530.4,1105003667.0
2017-02-14,559.39,572.78,552.07,562.43,6309648855.0
2017-02-15,543.7,543.7,526.65,535.18,1192967035.0
2017-02-16,543.18,549.46,536.75,543.1,9847794772.0
2017-02-17,530.45,541.87,520.52,531.2,7230289681.0
2017-02-18,522.5,526.02,498.58,512.3,3145070804.0
2017-02-19,539.21,555.52,523.19,539.35,1097604846.0
2017-02-20,499.35,516.08,495.64,505.86,1016754829.0
2017-02-21,533.42,541.21,525.09,533.15,3096293174.0
2017-02-22,515.94,515.94,505.09,510.52,547988337.0
2017-02-23,572.84,573.04,560.09,566.57,58634165.0
2017-02-24,558.36,561.36,542.61,551.99,2067853472.0
2017-02-25,546.45,549.63,534.25,541.94,181385635.0
2017-02-26,553.03,574.07,542.97,558.52,233872287.0
2017-02-27,531.07,531.07,516.19,523.63,991141853.0
2017-02-28,555.35,555.35,539.65,547.5,859311331.0
2017-03-01,539.02,553.65,537.73,545.69,119193870.0
2017-03-02,537.88,560.1,531.8,545.95,1270144062.0
2017-03-03,573.76,575.03,551.07,563.05,4219060710.0
2017-03-04,559.56,562.66,540.21,551.43,182157686.0
2017-03-05,548.72,548.72,534.26,541.49,6667797138.0
2017-03-06,522.6,527.74,501.55,514.64,95078102.0
2017-03-07,532.2,534.48,528.15,531.32,23606326992.0
2017-03-08,549.55,560.97,531.72,546.35,530813396.0
2017-03-09,556.18,565.07,545.28,555.18,1221003379.0
2017-03-10,530.34,546.45,530.34,538.4,57301975.0
2017-03-11,604.81,609.36,588.49,598.93,889129876.0
2017-03-12,587.06,599.67,574.21,586.94,1370473018.0
2017-03-13,582.2,582.2,576.04,579.12,851810815.0
2017-03-14,572.83,588.11,557.42,572.76,414920316.0
2017-03-15,576.16,585.67,567.03,576.35,232443145.0
2017-03-16,550.75,565.65,550.5,558.07,5217401342.0
2017-03-17,576.96,586.8,576.96,581.88,997589010.0
2017-03-18,580.96,598.41,579.58,588.99,9557919358.0
2017-03-19,558.85,575.58,555.88,565.73,427882041.0
2017-03-20,606.47,606.47,588.44,597.45,488173463.0
2017-03-21,577.7,598.7,572.96,585.83,3166157256.0
2017-03-22,553.93,567.77,550.41,559.09,81140280.0
2017-03-23,584.56,599.36,565.54,582.45,149001899.0
2017-03-24,602.72,612.07,588.09,600.08,4739375571.0
2017-03-25,637.0,662.21,629.67,645.94,156427697.0
2017-03-26,627.33,627.33,617.7,622.52,58837477.0
2017-03-27,597.83,599.92,582.26,591.09,14747429639.0
2017-03-28,626.17,641.31,624.32,632.82,109707820.0
2017-03-29,596.34,613.0,589.86,601.43,1161068770.0
2017-03-30,665.55,671.44,636.73,654.09,969511439.0
2017-03-31,635.8,635.8,627.01,631.41,12799024.0
2017-04-01,648.66,648.66,639.88,644.27,576171595.0
2017-04-02,670.42,699.72,663.92,681.82,1672403807.0
2017-04-03,630.87,639.48,626.41,632.94,1440649447.0
2017-04-04,636.29,648.57,621.0,634.78,3257290550.0
2017-04-05,646.03,666.36,642.06,654.21,465979080.0
2017-04-06,684.87,704.01,668.57,686.29,2407132683.0
2017-04-07,644.36,646.98,636.55,641.76,291655918.0
2017-04-08,618.45,627.88,617.61,622.75,98111436.0
2017-04-09,681.54,686.72,661.21,673.97,115304849.0
2017-04-10,708.24,718.75,678.7,698.73,89436649.0
2017-04-11,706.51,722.47,700.59,711.53,3618385226.0
2017-04-12,688.88,688.88,670.97,679.93,81488490.0
2017-04-13,673.34,697.99,670.39,684.19,1183857621.0
2017-04-14,728.01,738.6,698.0,718.3,523220118.0
2017-04-15,650.33,676.59,642.39,659.49,664219408.0
2017-04-16,683.67,716.05,674.49,695.27,5955075455.0
2017-04-17,723.59,723.59,715.58,719.58,396738323.0
2017-04-18,729.06,735.59,724.17,729.88,1906446703.0
2017-04-19,725.54,728.34,699.45,713.89,801896208.0
2017-04-20,724.8,747.38,710.19,728.79,600657905.0
2017-04-21,665.2,679.05,662.77,670.91,23666615846.0
2017-04-22,711.61,719.41,703.78,711.59,86148482.0
2017-04-23,737.49,757.02,720.56,738.79,5158569569.0
2017-04-24,716.18,725.29,716.05,720.67,1990974152.0
2017-04-25,750.78,755.61,734.4,745.01,361390691.0
2017-04-26,765.07,770.57,743.85,757.21,8528163492.0
2017-04-27,751.63,755.25,727.08,741.17,46215573.0
2017-04-28,763.18,766.4,731.62,749.01,337506635.0
2017-04-29,723.47,740.42,720.16,730.29,120383431.0
2017-04-30,758.06,766.84,736.3,751.57,1368005463.0
2017-05-01,771.54,790.03,759.6,774.82,138845856.0
2017-05-02,766.29,775.12,746.68,760.9,1412219769.0
2017-05-03,750.17,766.66,735.11,750.89,558022322.0
2017-05-04,771.98,771.98,754.45,763.22,360000997.0
2017-05-05,782.88,782.88,771.82,777.35,1325475183.0
2017-05-06,730.65,730.65,719.07,724.86,495394049.0
2017-05-07,801.53,801.53,784.69,793.11,145090053.0
2017-05-08,767.5,768.55,742.1,755.33,49744439494.0
2017-05-09,782.39,792.77,752.58,772.67,359377395.0
2017-05-10,786.38,805.41,769.92,787.67,26881960.0
2017-05-11,714.55,739.57,703.87,721.72,212226752.0
2017-05-12,731.81,745.76,725.49,735.62,112503495.0
2017-05-13,728.09,750.44,728.09,739.27,2608022785.0
2017-05-14,730.12,740.24,718.59,729.42,1227756739.0
2017-05-15,781.35,788.84,773.54,781.19,1382913347.0
2017-05-16,729.13,733.15,723.64,728.4,438038959.0
2017-05-17,744.28,744.88,715.99,730.43,503609428.0
2017-05-18,756.94,766.82,722.54,744.68,440499295.0
2017-05-19,709.74,722.87,709.74,716.31,682636230.0
2017-05-20,723.54,731.84,722.87,727.36,2708470429.0
2017-05-21,740.77,761.23,724.84,743.03,1285052531.0
2017-05-22,729.33,741.72,725.12,733.42,1648801685.0
2017-05-23,739.42,749.5,711.89,730.69,1652480575.0
2017-05-24,721.87,737.47,704.88,721.18,2952068770.0
2017-05-25,702.58,720.63,680.5,700.56,1210208796.0
2017-05-26,753.58,754.4,731.77,743.09,1349003950.0
2017-05-27,778.9,786.06,752.9,769.48,4695535207.0
2017-05-28,713.65,736.34,712.26,724.3,291681087.0
2017-05-29,737.14,746.07,715.71,730.89,219518066.0
2017-05-30,740.57,754.54,730.43,742.48,133983338.0
2017-05-31,695.45,708.02,694.4,701.21,1045484596.0
2017-06-01,754.9,782.1,754.9,768.5,49315349.0
2017-06-02,731.8,745.51,718.84,732.17,1591968940.0
2017-06-03,761.6,785.38,746.67,766.03,675903330.0
2017-06-04,708.55,732.4,698.93,715.67,4366934475.0
2017-06-05,776.41,787.04,753.77,770.41,290517654.0
2017-06-06,762.32,762.32,750.47,756.4,586343839.0
2017-06-07,747.33,772.41,737.66,755.04,4277774113.0
2017-06-08,731.2,757.26,731.2,744.23,6318510112.0
2017-06-09,748.64,758.53,718.14,738.34,285605158.0
2017-06-10,753.77,790.37,747.32,768.85,1038430534.0
2017-06-11,755.45,755.45,745.87,750.66,1226635606.0
2017-06-12,715.65,730.19,693.85,712.02,1377666114.0
2017-06-13,725.17,733.84,725.17,729.5,528861781.0
2017-06-14,749.83,768.25,746.77,757.51,5341473517.0
2017-06-15,759.65,788.38,759.65,774.01,45736274.0
2017-06-16,766.03,779.48,766.03,772.76,412278832.0
2017-06-17,804.08,835.2,796.6,815.9,1511614104.0
2017-06-18,747.76,748.3,740.55,744.42,1525720547.0
2017-06-19,785.85,800.47,785.85,793.16,5817292802.0
2017-06-20,748.65,762.39,733.2,747.79,4589796537.0
2017-06-21,811.29,826.85,789.89,808.37,492991719.0
2017-06-22,785.59,814.1,769.88,791.99,5286609280.0
2017-06-23,795.52,828.95,792.25,810.6,256254650.0
2017-06-24,771.33,803.01,768.75,785.88,3003348450.0
2017-06-25,834.7,859.88,834.7,847.29,11166623232.0
2017-06-26,850.7,850.7,842.18,846.44,4541080731.0
2017-06-27,841.2,854.15,840.58,847.36,854607484.0
2017-06-28,843.1,848.53,817.92,833.22,440410045.0
2017-06-29,868.13,889.55,851.46,870.51,72661174.0
2017-06-30,844.3,858.95,832.84,845.89,1138860415.0
2017-07-01,887.83,908.02,866.73,887.37,133275295.0
